Ticker,Entry Date,Exit Date,Holding Days,Entry,Exit,PnL (£),PnL %,Market,Exit Reason,Was Profitable,Entry Year
DVN,2021-09-30,2021-10-27,27,28.600845206260683,31.807550328254703,793.9638147706373,11.38,US,Stop,True,2021
FANG,2021-09-30,2021-10-27,27,78.03141496658326,88.40682525253297,918.2648841158685,13.47,US,Stop,True,2021
TRGP,2021-09-30,2021-10-27,27,45.00422239494324,49.984572372436524,783.6590475964355,11.23,US,Stop,True,2021
BX,2021-11-30,2021-12-13,13,123.65380030822755,112.43234020233155,-665.6065407577133,-8.94,US,Stop,False,2021
NVDA,2021-11-30,2021-12-13,13,32.657738922119144,28.064394200325015,-902.9191625949162,-13.94,US,Stop,False,2021
DVN,2021-11-30,2021-12-14,14,33.87641829872132,33.011192211151126,-158.92406639705717,-2.41,US,Stop,False,2021
FANG,2021-11-30,2021-12-14,14,88.35363780593873,85.8935338973999,-184.92167615576852,-2.64,US,Stop,False,2021
FTNT,2021-11-30,2021-12-24,24,66.52163006591798,69.69929485321045,350.3651312558509,4.93,US,Risk-Off,True,2021
BLDR,2021-12-31,2022-01-10,10,85.83856408309937,78.89148713302613,-655.356477546627,-7.96,US,Stop,False,2021
FTNT,2021-12-31,2022-01-13,13,71.9878172492981,61.48363621330262,-1181.574537801629,-14.46,US,Stop,False,2021
DVN,2021-12-31,2022-01-17,17,36.15547797775269,41.23535629272461,1137.7245590232817,14.22,US,Risk-Off,True,2021
F,2021-12-31,2022-01-17,17,15.862375250816346,19.180370869636537,1693.8132258171747,21.1,US,Risk-Off,True,2021
COP,2022-01-31,2022-02-11,11,76.63771072006226,81.03851504898071,405.6951423953438,5.9,US,Risk-Off,True,2022
DVN,2022-01-31,2022-02-11,11,41.50699145507813,44.279512142181396,342.3486428067307,6.84,US,Risk-Off,True,2022
EOG,2022-01-31,2022-02-11,11,92.68755203628541,96.77838905715943,311.8178962488819,4.57,US,Risk-Off,True,2022
TRGP,2022-01-31,2022-02-11,11,54.45953096580506,58.873174091339116,572.5765924323106,8.27,US,Risk-Off,True,2022
AAF.L,2022-01-31,2022-02-24,24,153.02969810485837,138.68902587890625,-662.070229452115,-9.37,UK,Stop,False,2022
APA,2022-03-31,2022-04-11,11,36.63491003799439,36.29540110588074,-68.04935055797573,-0.78,US,Risk-Off,False,2022
CF,2022-03-31,2022-04-11,11,95.12024223709108,98.50691724777222,239.54927203346676,3.72,US,Risk-Off,True,2022
DVN,2022-03-31,2022-04-11,11,49.347607444763185,49.948638500213626,87.36123008505659,1.37,US,Risk-Off,True,2022
OXY,2022-03-31,2022-04-11,11,53.7500943813324,54.70354224395752,93.45094681114371,1.93,US,Risk-Off,True,2022
TRGP,2022-03-31,2022-04-11,11,69.56772679138184,69.62585019302368,6.553136180271738,0.23,US,Risk-Off,True,2022
CEG,2022-11-30,2022-12-05,5,93.92375567626954,87.73862434768677,-493.9816383064025,-6.44,US,Risk-Off,False,2022
EQT,2022-11-30,2022-12-05,5,40.54710346221924,35.33550126075745,-815.5380513566913,-12.72,US,Risk-Off,False,2022
OXY,2022-11-30,2022-12-05,5,66.0854069480896,62.91970747756958,-359.3365929882081,-4.65,US,Risk-Off,False,2022
SMCI,2022-11-30,2022-12-05,5,9.036534263134003,8.318503827571869,-475.73009894520635,-7.81,US,Risk-Off,False,2022
TPL,2022-11-30,2022-12-05,5,278.46550404357913,271.79073709106444,-176.8869810358831,-2.25,US,Risk-Off,False,2022
TPL,2023-01-31,2023-02-16,16,214.63523712921145,200.98347229003906,-443.48891000645375,-6.22,US,Stop,False,2023
CEG,2023-01-31,2023-02-20,20,83.40961789321899,82.37065080642701,-86.95398040087933,-1.1,US,Risk-Off,False,2023
FSLR,2023-01-31,2023-02-20,20,177.86640611267092,164.03357878112794,-491.67880895892347,-7.64,US,Risk-Off,False,2023
SMCI,2023-01-31,2023-02-20,20,7.243849301338196,9.184202954292298,1375.8964454854197,26.98,US,Risk-Off,True,2023
STLD,2023-01-31,2023-02-20,20,115.58227053451539,119.37208736801148,228.89210212700513,3.43,US,Risk-Off,True,2023
LW,2023-02-28,2023-03-10,10,95.62692916870118,92.48898017501831,-266.05197278871157,-3.14,US,Stop,False,2023
BEZ.L,2023-02-28,2023-03-10,10,685.934153137207,581.2188720703125,-1237.7372142580246,-15.27,UK,Stop,False,2023
FSLR,2023-02-28,2023-03-10,10,169.39370938873293,207.41840073394778,1261.7337074945042,22.63,US,Risk-Off,True,2023
SMCI,2023-02-28,2023-03-10,10,9.811695431232453,9.262086022853852,-233.64251347392985,-5.46,US,Risk-Off,False,2023
STLD,2023-02-28,2023-03-10,10,120.82296892929078,114.96860729599,-337.63778238727264,-4.7,US,Risk-Off,False,2023
FIX,2023-03-31,2023-04-10,10,144.61352227020265,128.9582495727539,-810.9636484940544,-10.69,US,Stop,False,2023
SMCI,2023-03-31,2023-04-20,20,10.67098223257065,10.78479814195633,45.82694840836284,1.22,US,Stop,True,2023
FSLR,2023-03-31,2023-04-24,24,217.82625000000002,209.58514390563965,-202.6074889803315,-3.64,US,Stop,False,2023
AXON,2023-03-31,2023-04-25,25,225.18728111267092,220.51873109436036,-155.68811963800405,-1.93,US,Stop,False,2023
DECK,2023-03-31,2023-04-25,25,75.03739055633545,79.25926654434204,422.51785267481716,5.79,US,Stop,True,2023
SMCI,2023-05-31,2023-06-16,16,22.42859295845032,23.042384164810183,107.35774253809521,2.89,US,Stop,True,2023
FICO,2023-05-31,2023-06-19,19,788.8514878845215,798.7600819396973,98.52266429456964,1.41,US,Risk-Off,True,2023
FSLR,2023-05-31,2023-06-19,19,203.264446723938,188.70652048492434,-404.21634394009266,-7.02,US,Risk-Off,False,2023
NFLX,2023-05-31,2023-06-19,19,39.582283308029176,43.131205146789554,703.2584387846914,9.13,US,Risk-Off,True,2023
NVDA,2023-05-31,2023-06-19,19,37.85928565979004,42.59696590042115,776.7564463057361,12.68,US,Risk-Off,True,2023
FSLR,2023-06-30,2023-07-04,4,190.37513133239747,191.10291439056397,23.119833541206877,0.53,US,Risk-Off,True,2023
NFLX,2023-06-30,2023-07-04,4,44.11507328605652,44.07778500556946,-6.737522218649868,0.07,US,Risk-Off,True,2023
NVDA,2023-06-30,2023-07-04,4,42.33464709472656,42.31858694648743,-2.4569050900469893,0.11,US,Risk-Off,True,2023
RCL,2023-06-30,2023-07-04,4,102.10145490264892,101.26572752761841,-65.2450481770667,-0.67,US,Risk-Off,False,2023
SMCI,2023-06-30,2023-07-04,4,24.96238673591614,24.882620076179506,-13.666251731854732,-0.17,US,Risk-Off,False,2023
RR.L,2023-07-31,2023-08-02,2,185.75117683410642,183.87713623046875,-63.354812708944245,-1.01,UK,Risk-Off,False,2023
NVDA,2023-07-31,2023-08-10,10,46.76506893730164,42.29364958572388,-536.1358311038371,-9.43,US,Stop,False,2023
SMCI,2023-07-31,2023-08-10,10,33.07654092788697,27.670431893348695,-812.971366708602,-16.22,US,Stop,False,2023
BLDR,2023-07-31,2023-08-16,16,144.64663766479492,147.01914548492434,129.7165792555232,1.79,US,Stop,True,2023
RCL,2023-07-31,2023-08-16,16,107.38662297821045,99.28359776687623,-596.7510373429817,-7.41,US,Stop,False,2023
BLDR,2023-08-31,2023-09-04,4,145.25755327606203,148.51689548492433,186.12009493105973,2.4,US,Risk-Off,True,2023
NVDA,2023-08-31,2023-09-04,4,49.39309335708619,48.40101758766175,-166.60216698039667,-1.86,US,Risk-Off,False,2023
RCL,2023-08-31,2023-09-04,4,97.37726955795289,95.86880577468872,-128.49295710109746,-1.4,US,Risk-Off,False,2023
SMCI,2023-08-31,2023-09-04,4,27.549261419296265,28.173675603866577,134.05031340383724,2.42,US,Risk-Off,True,2023
SMCI,2023-11-30,2023-12-20,20,27.38802062225342,30.162688182830813,802.4322754353022,10.3,US,Stop,True,2023
APP,2023-11-30,2023-12-22,22,37.536219541549684,41.14818408584595,762.1685533098814,9.79,US,Stop,True,2023
CVNA,2023-11-30,2023-12-26,26,31.366979694366456,53.47966137123108,4978.317822714388,70.75,US,Stop,True,2023
COIN,2023-11-30,2023-12-29,29,124.90708122253419,173.65911817169192,3091.4610848738494,39.24,US,Stop,True,2023
RR.L,2024-01-31,2024-02-13,13,302.6684106445312,306.2619323730469,124.51449636022976,1.19,UK,Risk-Off,True,2024
CVNA,2024-01-31,2024-02-16,16,43.12459137535095,52.40127954292298,1132.7246395404286,21.69,US,Stop,True,2024
SMCI,2024-01-31,2024-02-16,16,53.04044003295899,80.21150273132325,2593.0135778944427,51.45,US,Stop,True,2024
APP,2024-01-31,2024-02-19,19,41.19169606971741,59.78019393348694,4131.675746295669,45.34,US,Risk-Off,True,2024
NVDA,2024-01-31,2024-02-19,19,61.584975921630864,72.46369670867921,1852.5493742257038,17.84,US,Risk-Off,True,2024
COIN,2024-02-29,2024-03-14,14,203.86533755493164,233.3194931716919,1582.3343026928,14.62,US,Stop,True,2024
SMCI,2024-02-29,2024-03-15,15,86.74191751098633,106.722678730011,1629.480226883516,23.22,US,Stop,True,2024
APP,2024-02-29,2024-03-27,27,59.809581222534185,68.75671060943604,1773.6246977772087,15.13,US,Stop,True,2024
NVDA,2024-02-29,2024-03-27,27,79.18654166793824,90.06867352294923,1629.3387221658838,13.91,US,Stop,True,2024
